lat,long,lake,subbasin
42.0241,-82.6364,ER,0
42.0242,-82.6242,ER,0
42.0243,-82.6120,ER,0
42.0244,-82.5999,ER,0
42.0153,-82.5997,ER,0
42.0154,-82.5876,ER,0
42.0064,-82.5875,ER,0
42.0065,-82.5753,ER,0
41.9974,-82.5752,ER,0
41.9975,-82.5630,ER,0
41.9885,-82.5629,ER,0
41.9886,-82.5507,ER,0
41.9795,-82.5506,ER,0
41.9705,-82.5505,ER,0
41.9706,-82.5383,ER,0
41.9615,-82.5382,ER,0
41.9525,-82.5381,ER,0
41.9526,-82.5260,ER,0
41.9435,-82.5259,ER,0
41.9345,-82.5257,ER,0
41.9346,-82.5136,ER,0
41.9256,-82.5135,ER,0
41.9165,-82.5134,ER,0
41.9075,-82.5133,ER,0
41.9076,-82.5011,ER,0
41.9166,-82.5012,ER,0
41.9256,-82.5013,ER,0
41.9347,-82.5014,ER,0
41.9437,-82.5015,ER,0
41.9528,-82.5017,ER,0
41.9618,-82.5018,ER,0
41.9708,-82.5019,ER,0
41.9799,-82.5020,ER,0
41.9889,-82.5021,ER,0
41.9979,-82.5022,ER,0
42.0070,-82.5023,ER,0
42.0071,-82.4901,ER,0
42.0161,-82.4902,ER,0
42.0251,-82.4904,ER,0
42.0342,-82.4905,ER,0
42.0343,-82.4783,ER,0
42.0433,-82.4784,ER,0
42.0523,-82.4785,ER,0
42.0524,-82.4663,ER,0
42.0615,-82.4664,ER,0
42.0615,-82.4543,ER,0
42.0706,-82.4544,ER,0
42.0706,-82.4422,ER,0
42.0797,-82.4423,ER,0
42.0798,-82.4301,ER,0
42.0888,-82.4302,ER,0
42.0978,-82.4303,ER,0
42.0979,-82.4181,ER,0
42.0980,-82.4059,ER,0
42.1070,-82.4060,ER,0
42.1071,-82.3938,ER,0
42.1161,-82.3939,ER,0
42.1162,-82.3818,ER,0
42.1163,-82.3696,ER,0
42.1253,-82.3697,ER,0
42.1254,-82.3575,ER,0
42.1344,-82.3576,ER,0
42.1345,-82.3454,ER,0
42.1345,-82.3332,ER,0
42.1436,-82.3333,ER,0
42.1436,-82.3211,ER,0
42.1437,-82.3089,ER,0
42.1527,-82.3090,ER,0
42.1528,-82.2968,ER,0
42.1529,-82.2846,ER,0
42.1529,-82.2724,ER,0
42.1619,-82.2725,ER,0
42.1620,-82.2603,ER,0
42.1621,-82.2481,ER,0
42.1711,-82.2481,ER,0
42.1712,-82.2359,ER,0
42.1712,-82.2237,ER,0
42.1802,-82.2238,ER,0
42.1803,-82.2116,ER,0
42.1893,-82.2117,ER,0
42.1894,-82.1995,ER,0
42.1894,-82.1873,ER,0
42.1985,-82.1873,ER,0
42.1985,-82.1751,ER,0
42.1986,-82.1629,ER,0
42.2076,-82.1630,ER,0
42.2076,-82.1508,ER,0
42.2167,-82.1509,ER,0
42.2167,-82.1387,ER,0
42.2168,-82.1264,ER,0
42.2258,-82.1265,ER,0
42.2258,-82.1143,ER,0
42.2349,-82.1143,ER,0
42.2349,-82.1021,ER,0
42.2350,-82.0899,ER,0
42.2440,-82.0900,ER,0
42.2440,-82.0778,ER,0
42.2531,-82.0778,ER,0
42.2531,-82.0656,ER,0
42.2531,-82.0534,ER,0
42.2532,-82.0412,ER,0
42.2532,-82.0290,ER,0
42.2532,-82.0168,ER,0
42.2533,-82.0045,ER,0
42.2623,-82.0046,ER,0
42.2623,-81.9924,ER,0
42.2624,-81.9802,ER,0
42.2624,-81.9679,ER,0
42.2624,-81.9557,ER,0
42.2624,-81.9435,ER,0
42.2534,-81.9435,ER,0
42.2534,-81.9313,ER,0
42.2534,-81.9191,ER,0
42.2535,-81.9068,ER,0
42.2535,-81.8946,ER,0
42.2535,-81.8824,ER,0
42.2444,-81.8824,ER,0
42.2445,-81.8702,ER,0
42.2445,-81.8580,ER,0
42.2445,-81.8458,ER,0
42.2535,-81.8458,ER,0
42.2626,-81.8458,ER,0
42.2716,-81.8458,ER,0
42.2806,-81.8458,ER,0
42.2897,-81.8458,ER,0
42.2987,-81.8459,ER,0
42.3078,-81.8459,ER,0
42.3168,-81.8459,ER,0
42.3258,-81.8459,ER,0
42.3349,-81.8459,ER,0
42.3349,-81.8337,ER,0
42.3439,-81.8337,ER,0
42.3530,-81.8337,ER,0
42.3620,-81.8337,ER,0
42.3620,-81.8215,ER,0
42.3711,-81.8215,ER,0
42.3801,-81.8215,ER,0
42.3801,-81.8093,ER,0
42.3891,-81.8093,ER,0
42.3892,-81.7970,ER,0
42.3892,-81.7848,ER,0
42.3982,-81.7848,ER,0
42.3982,-81.7726,ER,0
42.4072,-81.7726,ER,0
42.4072,-81.7603,ER,0
42.4072,-81.7481,ER,0
42.4163,-81.7481,ER,0
42.4163,-81.7359,ER,0
42.4253,-81.7359,ER,0
42.4253,-81.7236,ER,0
42.4253,-81.7114,ER,0
42.4344,-81.7114,ER,0
42.4434,-81.7114,ER,0
42.4434,-81.6991,ER,0
42.4434,-81.6869,ER,0
42.4524,-81.6868,ER,0
42.4524,-81.6746,ER,0
42.4615,-81.6746,ER,0
42.4705,-81.6746,ER,0
42.4705,-81.6623,ER,0
42.4795,-81.6623,ER,0
42.4795,-81.6501,ER,0
42.4886,-81.6500,ER,0
42.4886,-81.6378,ER,0
42.4976,-81.6378,ER,0
42.4976,-81.6255,ER,0
42.5066,-81.6255,ER,0
42.5066,-81.6132,ER,0
42.5157,-81.6132,ER,0
42.5156,-81.6009,ER,0
42.5156,-81.5887,ER,0
42.5247,-81.5887,ER,0
42.5246,-81.5764,ER,0
42.5337,-81.5764,ER,0
42.5337,-81.5641,ER,0
42.5427,-81.5641,ER,0
42.5427,-81.5518,ER,0
42.5517,-81.5518,ER,0
42.5517,-81.5395,ER,0
42.5517,-81.5272,ER,0
42.5607,-81.5272,ER,0
42.5607,-81.5149,ER,0
42.5697,-81.5149,ER,0
42.5697,-81.5026,ER,0
42.5697,-81.4904,ER,0
42.5787,-81.4903,ER,0
42.5787,-81.4780,ER,0
